time pages_b7 pages_b5 pages_b9
1608479333 648435 232072 123684
1608479363 971619 234448 209251
1608479393 1156202 234448 284536
1608479423 1187111 234448 336657
1608479453 1188532 234448 409516
1608479483 1188663 234448 452527
1608479513 1189499 261980 494097
1608479543 1189563 501002 516593
1608479573 1189599 1007170 536322
1608479603 1189599 1319516 688159
1608479633 1189604 1330245 750803
1608479663 1189669 1354694 752187
1608479693 1189709 1357166 752400
1608479723 1189713 1357364 752539
1608479753 1189740 1357464 752605
1608479783 1189743 1357556 752701
1608479813 1189743 1357559 752744
1608479843 1189743 1357559 752744
1608479873 1189743 1357603 752745
1608479903 1189874 1357604 752893
1608479933 1189874 1357625 753289
1608479963 1192389 1357625 753618
1608479993 1194564 1357625 753947
1608480023 1195356 1357625 754565
1608480053 1195356 1357626 755491
1608480083 1196620 1357651 755953
1608480113 1206086 1357651 756679
1608480143 1210128 1357655 757274
1608480173 1215757 1357693 758652
1608480203 1216218 1357695 758917
1608480233 1216229 1357893 759593
1608480263 1216229 1357894 761174
1608480293 1216229 1357959 764353
1608480323 1216229 1357959 767584
1608480353 1216230 1358013 769365
1608480383 2086186 1358028 771605
1608480413 2086677 1358457 775160
1608480443 2087151 1358506 777940
1608480473 2087687 1358506 781295
1608480503 2088409 1358522 784128
1608480533 2088573 1358582 786960
1608480563 2088637 1358582 789362
1608480593 2088835 1358681 881413
1608480623 2090287 1358681 1099190
1608480653 2093027 2226725 1182311
1608480683 2096338 2215406 1336063
1608480713 2096911 2275446 1340132
1608480743 2096911 2275912 1340133
1608480773 2097375 2276155 1340166
1608480803 2097378 2276155 1340405
1608480833 2097385 2276979 1341098
1608480863 2098043 2276979 1341114
1608480893 2098043 2276995 1341114
1608480923 2098059 2280559 1341114
1608480953 2098059 2285261 1341158
1608480983 2098059 2286013 1342346
1608481013 2098060 2288716 1342346
1608481043 2099896 2289571 1348588
1608481074 2103811 2289724 1348588
1608481104 2115662 2289220 1348588
1608481134 2116920 2290207 1348588
1608481164 2116561 2287791 1348588
1608481194 2116633 2289225 1350436
1608481224 2116668 2291074 1350436
1608481254 2116676 2291440 1350597
1608481284 2116916 2291455 1350663
1608481314 2111579 2292598 1351059
1608481344 2126357 2293295 1351059
1608481374 2121066 2293295 1351059
1608481404 2129121 2290902 1351059
1608481434 2117379 2291075 1352247
1608481464 2230006 2291092 1352377
1608481494 2241539 2292667 1352377
1608481524 2241539 2292724 1352377
1608481554 2241544 2292741 1352377
1608481584 2241544 2295892 1352377
1608481614 2241565 2280619 1353546
1608481644 2241565 2311637 1337728
1608481674 2241565 2489779 1338256
1608481704 2241631 2489900 1339645
1608481734 2241631 2489923 1339910
1608481764 2242109 2489928 1340042
1608481794 2242238 2489951 1340174
1608481824 2244747 2489951 1340372
1608481854 2244927 2489951 1340438
1608481884 2245169 2489952 1340438
1608481914 2247300 2489952 1342266
1608481944 2247510 2489952 1345384
1608481974 2247510 2489952 1350645
1608482004 2246002 2489953 1350965
1608482034 2247365 2489954 1351106
1608482064 2251028 2489955 1351161
1608482094 2251030 2489957 1353112
1608482124 2245800 2489958 1353229
1608482154 2247188 2490026 1353281
1608482184 2247214 2490029 1353370
1608482214 2247771 2490163 1356242
1608482244 2248340 2490165 1356373
1608482274 2248611 2490553 1356425
1608482304 2249510 2490553 1356425
1608482334 2249580 2491257 1356425
1608482364 2250420 2491277 1356624
1608482394 2265534 2494263 1356751
1608482424 2279461 2494283 1356949
1608482454 2250422 2494654 1350154
1608482484 2250422 2495107 1350154
1608482514 2250422 2495109 1352283
1608482544 2250422 2495110 1353774
1608482574 2250422 2486068 1351565
1608482604 2250422 2496509 1354297
1608482634 2250422 2489493 1371447
1608482664 2250426 2508668 1355232
1608482694 2250426 2508864 1355761
1608482724 2250426 2454549 1355763
1608482754 2250476 2633649 1355763
1608482784 2250477 2633678 1355785
1608482814 2250479 2634072 1355808
1608482844 2243793 2634458 1355808
1608482874 2245927 2635386 1355808
1608482904 2245993 2635650 1355808
1608482934 2247877 2636206 1355808
1608482964 2247944 2637089 1355810
1608482994 2248046 2637089 1355832
1608483024 2248160 2637913 1355832
1608483054 2248494 2640432 1355834
1608483084 2245400 2641739 1360973
1608483114 2246751 2641780 1361327
1608483144 2247030 2641849 1361328
1608483174 2247161 2640279 1361331
1608483204 2247634 2641646 1361772
1608483234 2248328 2635944 1361774
1608483264 2244372 2639473 1353869
1608483294 2244437 2640749 1357014
1608483324 2247577 2637744 1357095
1608483355 2247694 2639139 1357005
1608483385 2247773 2633669 1359228
1608483415 2247773 2637521 1359317
1608483445 2295791 2638499 1356415
1608483475 2295791 2639918 1358174
1608483505 2295791 2642114 1356873
1608483535 2295798 2642120 1356688
1608483565 2295798 2643304 1353869
1608483595 2295798 2640820 1356919
1608483625 2295798 2640908 1355321
1608483655 2295801 2642039 1403881
1608483685 2295801 2680634 1364118
1608483715 2295801 2683028 1364118
1608483745 2295811 2685902 1364118
1608483775 2296368 2685902 1364125
1608483805 2296368 2685982 1364125
1608483835 2296565 2685982 1364125
1608483865 2296566 2685982 1364125
1608483895 2296585 2685982 1364125
1608483925 2296586 2686009 1364125
1608483955 2300016 2686009 1364125
1608483985 2300543 2686015 1364125
1608484015 2300780 2686087 1364125
1608484045 2300815 2686087 1364125
1608484075 2300816 2686615 1364421
1608484105 2300882 2686615 1369617
1608484135 2300937 2686669 1369617
1608484165 2300937 2689029 1369672
1608484195 2300937 2689029 1369672
1608484225 2300937 2689029 1362672
1608484255 2300939 2689030 1364636
1608484285 2300939 2689030 1364156
1608484315 2300943 2689031 1364156
1608484345 2294468 2689032 1373793
1608484375 2295006 2689033 1364382
1608484405 2317384 2689045 1366154
1608484435 2369764 2689045 1362672
1608484465 2296061 2689641 1366368
1608484495 2296061 2689706 1366792
1608484525 2296061 2689706 1362672
1608484555 2296061 2689709 1366889
1608484585 2296066 2689713 1367131
1608484615 2296066 2690095 1368461
1608484645 2296066 2690097 1433924
1608484675 2296066 2690229 1374961
1608484705 2296066 2711148 1374961
1608484735 2296068 2618363 1374961
1608484765 2296068 2603184 1374980
1608484795 2297167 2603416 1374980
1608484825 2297167 2603548 1374980
1608484855 2297167 2603680 1374980
1608484885 2298718 2603680 1374980
1608484915 2298722 2603680 1374980
1608484945 2298746 2603680 1374980
1608484975 2298746 2603944 1374981
1608485005 2298770 2604586 1374981
1608485035 2300960 2609226 1374981
1608485065 2300961 2610720 1374981
1608485095 2301105 2610744 1374982
1608485125 2301106 2613779 1374982
1608485155 2301484 2613884 1374983
1608485185 2301488 2614049 1374984
1608485215 2301490 2615225 1374986
1608485245 2301584 2616149 1371168
1608485275 2296222 2617072 1371282
1608485305 2283899 2617732 1372301
1608485335 2283906 2618259 1372864
1608485365 2284339 2618399 1369191
1608485395 2280972 2618837 1372099
1608485425 2282400 2619397 1373380
1608485455 2319666 2619397 1374085
1608485485 2285875 2619400 1374092
1608485515 2285875 2610922 1374158
1608485545 2285877 2611623 1374186
1608485575 2285877 2611626 1374885
1608485605 2285877 2612947 1375256
1608485635 2285877 2613322 1375460
1608485665 2285877 2614524 1443235
